ID,REVIEW,LABEL,LENGTH,PREPROCESS,LENGTH_PRE
228,Parah banget pelanyananya lama pooll tlng di perbaiki kinerja pegawainya,1,72,parah banget pelanyananya lama pooll tlng baik kerja pegawai,60
229,Tempat kopi dg suasana yg kondusif. Nyaman,5,42,tempat kopi dg suasana kondusif nyaman,38
230,mantap josss,5,12,mantap josss,12
231,"Resto lemot  karyawan hanya mengutamakan makan di tempat,  druver ojol dinomer duakan, KURANG RAMAH SAMA OJOL,",1,110,resto lot karyawan utama makan tempat druver ojol dinomer kurang ramah sama ojol,80
232,Banyak varian....,5,17,banyak varian,13
233,"Tempatnya oke nyaman kamar mandi juga oke tpi sayang airnya selalu dikit, mie nya oke murce",5,91,tempat oke nyaman kamar mandi oke tpi sayang air selalu dikit mie oke murce,75
234,Soft dan cocok dg minuman Koi. Pas g terlalu manis sesuai request. Pelayanan bagus tetap d pertahankan. Enak ga terlalu manis,5,125,soft cocok dg minum koi pas g terlalu manis sesuai request layan bagus tetap d tahan enak terlalu manis,103
235,Tempatnya ok dan luas,5,21,tempat dan luas,15
236,Ini cafe dengan pelayanan terbaik saat ini di surabaya dengan makanan juga cukup enak di surabaya. Area parkir yang cukup luas. Bisa juga untuk meeting karena ada vip room nya.. minus cuma satu saja. Tempat sholat nya perlu di tingkatkan jangan di taruh belakang seperti Tempat berhantu.,5,287,cafe layan baik ini surabaya makan cukup enak surabaya area parkir cukup luas juga meeting ada vip room minus cuma satu tempat sholat perlu tingkat jangan taruh belakang tempat hantu,182
237,"Gak pernah ketinggalan kalau ke surabaya. Nasi empal udang dan sambel ijo..enakk. Ada aneka oleh-oleh juga, jd bisa sekalian brli oleh-oleh disana..",5,148,gak pernah tinggal kalau surabaya nasi empal udang sambel ijo enakk aneka juga jd sekali brli sana,98
238,"Tempat nyaman, fasilitas oke dehh bersih ads tempat main ank yg cocok buat keluarga",5,83,tempat nyaman fasilitas oke dehh bersih ads tempat main ank cocok buat keluarga,79
239,"Suasana tenang, enak klo buat kumpul keluarga.",5,46,suasana tenang enak klo buat kumpul keluarga,44
240,Kuah enak. Tapi... Ayam nya kalau makan disini sedikit banget   kayak bukan cak har asli,3,88,kuah enak ayam kalau makan sini sedikit banget kayak bukan cak har asli,71
241,Servicenya buruk banget ga kayak di tp3 sama tp6 ramah2 pantes tempatnya sepi,1,77,servicenya buruk banget kayak tp3 sama tp6 ramah2 pantes tempat sepi,68
242,"Untuk semua driver harap dilihat kalau antar untuk cs, saya sudah 2x kena orderan ini(resto tp6 lt3) tanpa alas cup, alhasil tumpah Tolong di ceck untuk mesin pres sering bocor  Driver tidak bisa cek barang bocor atau tidak dikarenakan kalau kirim sudah kondisi di kretek/kabeltis Untuk call center tolong dijawab bila ada keluhan dari cs biar tau kondisi di lapangan",3,367,semua driver harap lihat kalau antar cs 2x kena order resto tp6 lt3 alas cup alhasil tumpah ceck mesin pres sering bocor driver bisa cek barang bocor tidak kalau kirim sudah kondisi kretek kabeltis call center jawab bila keluh cs biar tau kondisi di lapang,256
243,Saya makan berempat dengan mama saya dan anak saya 2 20mnt saya menunggu makanan keluar lama sekali. Akhirnya saya cancel 2 menu yang belum keluar. Sangat disayangkan restoran ini mengutamakan pelanggan ojek online terlebih dahulu untuk pesanan. Ketika saya cancel dan pembayaran makanan baru buru2 siap dikeluarkan. Kenapa sebelumnya tidak begitu saja mengutamakan pelanggan yang datang?,2,388,makan empat mama anak 2 20mnt tunggu makan keluar lama sekali akhir cancel 2 menu belum keluar sangat sayang restoran utama langgan ojek online lebih untuk pesan saya cancel dan bayar makan baru buru2 siap keluar belum begitu utama langgan datang,246
244,taste nya strong mantap buat pecinta kopii,5,42,taste strong mantap buat cinta kopi,35
245,Ada di POM Bensin dekat Damkar Rangkah arah Soewandhie,5,54,di pom bensin dekat damkar rang arah soewandhie,47
246,"Interior bagus dan rasa beverage sesuai standar dan cake nya oke, tadi beli red velvet tapi ac mati jadi panas banget, terus rasa jadi enek gitu rasa cakenya, pembayaran disini bisa cash qris sbuck card debit  n cc Saran untuk manajemen untuk perhatikan atmosfer ya, karena ngafe kalo panas bgt ya bakalan ogah",2,310,interior bagus rasa beverage sesuai standar cake oke tadi beli red velvet ac mati jadi panas banget terus rasa jadi enek gitu rasa cakenya bayar sini cash qris sbuck card debit n cc saran manajemen perhati atmosfer karena ngafe kalo panas bgt bakal ogah,253
247,"Datang kesini jam10 pagi sambil menunggu anak main di playtopia pelayanan cepat, tempat bersih, tenang. Overall oke untuk nunggu",5,128,datang kesini jam10 pagi tunggu anak main playtopia layan cepat tempat bersih tenang overall oke nunggu,103
248,"Enak menu penyetan nya, juga pangsit mie ayam",5,45,enak menu penyet pangsit mie ayam,33
249,"Nyobain Cafe Macchiato harganya 39rb.. kopinya lumayan... Milk Tea Boba 29rb.. Yakult Green Tea 25rb.. kalo mau seger, bisa coba pesen yang yakult green tea.. seger n light tastenya... Bobanya kecil n manis..",5,208,nyobain cafe macchiato harga 39rb kopi lumayan milk tea boba 29rb yakult green tea 25rb kalo mau seger coba sen yakult green tea seger n light tastenya bobanya kecil n manis,173
250,Pelayanan sangat ramah,5,22,layan sangat ramah,18
251,Pesan di gojek,5,14,pesan gojek,11
252,"Nunggu goreng ayam sampai  30menit,emang  selama itukah",1,55,nunggu goreng ayam 30menit emang lama,37
253,"Tempat bersih dan nyaman Dan juga lumayan sepi Tidak terlalu Ramai Pelayanan nya baik ,Gercep dan ramah Terima kasih Sukses Selalu buat Pemilik Starbucks beserta para tim nya Salam Sukses",4,187,tempat bersih nyaman juga lumayan sepi terlalu ramai layan baik gercep ramah terima kasih sukses selalu buat milik starbucks para tim salam sukses,146
254,"Penyetan keroyokan nya juara, sambalnya pedas dan gurih.",5,56,penyet keroyokan juara sambal pedas gurih,41
255,"Tempat makan ini sudah legendaris, jadi rasanya memang khas. Banyak org datang ksni. Namun saya krg sdkit cocok sma sambalnya",5,125,tempat makan sudah legendaris jadi rasa memang khas banyak org datang ksni saya krg sdkit cocok sma sambal,106
256,"Bersih, pelayanan ramah",5,23,bersih layan ramah,18
257,"kalo lagi suntuk bgt, ngopi si solusinyaaa dikopken biar pikiran gw tenang",5,74,kalo suntuk bgt ngopi si solusinyaaa dikopken biar pikir gw tenang,66
258,makanannya enak dan pelayanan ramah,5,35,makan enak layan ramah,22
259,Enak bgttt,5,10,enak bgttt,10
260,Lokasi cukup strategis karena persis di depan jalan besar dan mudah dicari. terletak di dalam area perbelanjaan Maspion Square membuat cabang ini strategis bagi para pecinta kopi. Tempat indoor yang dilengkapi dengan AC cukup sempit dan lebih kecil dibandingkan dengan area outdoornya. Harga terjangkau dan cocok digunakan untuk nongki bersama sahabat.,5,352,lokasi cukup strategis persis depan jalan besar mudah cari letak dalam area belanja maspion square buat cabang strategis para cinta kopi tempat indoor lengkap ac cukup sempit lebih kecil banding area outdoornya harga jangkau cocok untuk nongki sama sahabat,256
261,Tempat nyaman dan pelayanan bagus,5,33,tempat nyaman layan bagus,25
262,Pelayanan lama banget..dahulukan yg bungkus..kecewa,1,51,layan lama banget bungkus kecewa,32
263,"Kalau boleh saran tempat duduknya yang udah bolong mbo ya di ganti terus suasananya juga di buat senyaman mungkin, konsepnya itu loh paling juadul dari pada store lainnya kan lak ya jadi ga betah lama lama nongkrong di sana",3,223,kalau saran tempat duduk udah bolong mbo ganti terus suasana di buat nyaman mungkin konsep loh paling juadul pada store kan lak jadi betah lama lama nongkrong di sana,166
264,"Cafe bintang 4 toilet bintang 1. Kondisi mengenaskan, kotor dan malfungsi.",3,74,cafe bintang 4 toilet bintang 1 kondisi enas kotor malfungsi,60
265,"sangat memuaskan dan ada tempat untuk minum diluar kiosnya, untuk harga dan menu sama saja, tapi yg ini lebih istimewa. tempat yg sepi menambahkan experience untuk me timenya. gak keganggu ama bising orang-orang sekitar",5,219,sangat muas ada tempat minum luar kios harga menu sama tapi lebih istimewa tempat sepi tambah experience me timenya gak ganggu ama bising orang,143
266,Kopi nya uda terkenal ya. Cinta Indonesia harus kesini. Kalo ke Surabaya ngopi sini aja.,4,88,kopi uda kenal cinta indonesia kesini kalo surabaya ngopi sini aja,66
267,"Corndognya enak, saos kejunya the best. Karyawannya selalu membantu penggunaan poin dsb",5,87,corndognya enak saos keju the best karyawannya selalu bantu poin,64
268,"Pelayanan memuaskan. Minuman berkualitas. Suasana nyaman. Parking: Yang saya heran mengapa masih ada saja preman parkirnya. Dimintai karcis parkir, ditimpali dengan belum datang.",5,178,layan muas minum kualitas suasana nyaman parking saya heran masih saja preman parkir minta karcis parkir timpal belum datang,124
269,Tempat kurang nyaman untuk meeting . Gak ada sofa. Kursi keras. Gak cocok untuk jadi excelso kurang cozy untuk meeting.,2,119,tempat kurang nyaman meeting gak sofa kursi keras gak cocok jadi excelso kurang cozy meeting,92
270,Staff nya yg laki tidak ramah. Bad attitude,1,43,staff laki ramah bad attitude,29
271,"Minymanya enk, tmpatnya nyaman",5,30,minymanya enk tmpatnya nyaman,29
272,Lokasi enak untuk surabaya timur,5,32,lokasi enak surabaya timur,26
273,"Rasa sudah jelas enak. Yg ga enak, jika ada pengunjung yg merokok, asapnya kehirup smp bagian dalam. Lebih baik diberi pintu supaya ada pemisahan area merokok & non. Lantai jg kurang bersih. Kalau pesan campur, siap2 dapat daging ayam yg cuma 2-3 potong kecil2, sisanya jeroan   jarang ada telor muda/uritan. Btw, harga soto 25.000, lebih mahal dari Soto Cak Kan panjang jiwo jemursari yg sama2 enak tapi porsi lebih banyak n lbh murah",4,435,rasa jelas enak enak unjung rokok asap hirup smp dalam lebih baik beri pintu ada pisah area rokok non lantai jg kurang bersih kalau pesan campur siap2 daging ayam cuma 2-3 potong kecil2 sisa jeroan jarang ada telor muda uritan btw harga soto 25 000 lebih mahal soto cak kan panjang jiwo jemursari sama2 enak porsi lebih banyak n lbh murah,338
274,Pesan americano on the rock - biar ga terlalu byk eeh ttp aja full entah es nya cepet leleh atau memang di tambah air Soalnya di starbuck lain ga sampe full dan masih terasa pait kalau di sini bbrapa x selalu full Tapi katanya memang americano yasudah di terima saja di ganti jg pasti d buang kan sayang,2,303,pesan americano on the rock - biar terlalu byk eeh ttp aja full entah es cepet leleh memang tambah air soal starbuck sampe full masih asa pait kalau sini bbrapa x selalu full kata memang americano yasudah terima di ganti jg d buang kan sayang,242
275,"kopinya jumbo mantap, kopinya nampol sekali",5,43,kopi jumbo mantap kopi nampol sekali,36
276,"Barista kopi tapi gamasukin kopi kedalam kopinya. Diminta pertanggung jawaban cuma dibalikin 10rb padahal saya belinya 90rb. Edited : Mas2 dan Mba2 nya datang perbaikin kopinya dan kasih kupon gratis, lopyu gais",5,211,barista kopi gamasukin kopi kopi minta tanggung jawab cuma dibalikin 10rb padahal beli 90rb edited mas2 mba2 datang perbaikin kopi kasih kupon gratis lopyu gais,160
277,"tempatnya kecil, cocoknya bawa pulang",4,37,tempat kecil cocok bawa pulang,30
278,"Mbaknya ramah2, tempatnya bikin betah",5,37,mbak ramah2 tempat bikin betah,30
279,"promo menarik, harga terjangkau",5,31,promo tarik harga jangkau,25
280,"Starbucks di lv UG Sogo ( TP 4). Walaupun cukup terpencil, tetap rame. Banyak org mengerjakan tugas / buka laptop... Onframe : jasmine clementine matcha latte (seasonal flavor)",5,176,starbucks lv ug sogo tp 4 walaupun cukup pencil tetap rame banyak org kerja tugas buka laptop onframe jasmine clementine matcha latte seasonal flavor,149
281,"Sangat rekomen sekali bila hendak makan bersama keluarga dengan hidangan yg beraneka varian dari soto biasa sampai sesuai dg keinginan (spesial). Pelayanan cepat dan ramah, lingkungan nyaman dan bersih dengan area parkir yg cukup memadai (kondisional) juru parkir nya handal. Hidangan bagi saya pribadi mak nyus tenan top markotop.... selamat menikmati",5,352,sangat rekomen sekali bila hendak makan sama keluarga hidang aneka varian soto biasa sesuai dg spesial layan cepat ramah lingkung nyaman bersih area parkir cukup kondisional juru parkir handal hidang saya pribadi mak nyus tenan top markotop selamat nikmat,255
282,The coffee is cold,5,18,the coffee is cold,18
283,"pelayanan betul2 menyebalkan. minuman sdh siap, di biarkan aja ga d anter2 ke customer. akhrnya setelah nunggu 5mnt saya bilang minuman saya sdh siap kenapa ga d anter2 mbak nya cuma ambil sambil di lempar di meja dan ga di jawab. bener2 ga sopan!!!!!!!",1,253,layan betul2 sebal minum sdh siap biar aja d anter2 customer akhrnya nunggu 5mnt bilang minum sdh siap d anter2 mbak cuma ambil lempar meja di jawab bener2 sopan,161
284,Sangat recomended,4,17,sangat recomended,17
285,"Tempatnya di food society, Kopi kenangan mantannya favorit banget. Pelayanan ramah & cepat. Ketagihan terus krn suka banget kopi",5,128,tempat food society kopi kenang mantan favorit banget layan ramah cepat tagih terus krn suka banget kopi,104
286,"Tempat kecil, tapi lumayan untuk singgah sebentar",5,49,tempat kecil lumayan singgah sebentar,37
287,"Nyaman, bersih, ramah",5,21,nyaman bersih ramah,19
288,"Pelayanan baik, Responsif.",5,26,layan baik responsif,20
289,"Tempat nya nyaman buat nongkrong,,,mas2 nya ramah2 apalagi store managernya  ,,,taro milk tea pke toping aloe vera paling fav deh",5,129,tempat nyaman buat nongkrong mas2 ramah2 store managernya taro milk tea pke toping aloe vera paling fav deh,107
290,Pelayanan seperti kopi kenangan pada umumnya. Menu kopi kelapa pilihan baru,4,75,layan kopi kenang umum menu kopi kelapa pilih baru,50
291,"Menyenangkan, banyak tersedia kursi dan meja. Ada ruangan yg bisa di reservasi. Banyak varian tenant dari fnb group. Pelayanan ramah dan cepat",5,142,senang banyak sedia kursi meja ruang di reservasi banyak varian tenant fnb group layan ramah cepat,98
292,Bisa santai selama nunggu waktu..,5,33,santai lama nunggu waktu,24
293,"Tempat sangat nyaman buat kerja. Kopi nya juga enak, staff nya juga ramah",5,73,tempat sangat nyaman buat kerja kopi enak staff ramah,53
294,"Baristanya pada ramah dan helpfull banget, recomen buat yang mau sekedar me time atau nugas juga.",5,97,baristanya ramah helpfull banget recomen buat mau dar me time nugas,67
295,Boz kalo driver online minuman jatuh karena bukan kesengajaan namun kelalaian pihak barista dalam mengikat kabel tis yg tidak rapat sehingga jatuh harusnya diberikan potongan harga u mengganti bukan malah diberi harga offline . ....tempat lain gratis boz makanan minuman jatuh karena tidak disengaja oleh ojol diganti baru.  ...contoh richess,1,342,boz kalo driver online minum jatuh bukan sengaja lalai pihak barista ikat kabel tis rapat jatuh beri potong harga u ganti bukan malah beri harga offline tempat gratis boz makan minum jatuh tidak sengaja ojol ganti baru contoh richess,233
296,Ada Beberapa Macam Menu Ini Buat Sarapan,5,40,beberapa macam menu buat sarap,30
297,tolong di benah i untuk layanan ONLINE NYA...,1,45,di benah i layan online,23
298,Makanannya cukup enak dan porsinya cukup besar( fyi  biasanya makan porsi kecil). Mbaknya enak diajak komunikasi dgn berbagai pilihan menu andalan mereka,5,153,makan cukup enak porsi cukup besar fyi biasa makan porsi kecil mbak enak ajak komunikasi dgn bagai pilih menu andal,115
299,"Kualitas rasanya enak bgt, Saya dikasi rekomendasi sama mbk nya, Saya suka, mbk ya ramah, pertahankan untuk trans icon",5,118,kualitas rasa enak bgt kasi rekomendasi sama mbk suka mbk ramah tahan trans icon,80
300,"Mehong, harga setara coffee shop diatasnya",3,42,mehong harga tara coffee shop atas,34
301,Nice place n yummy menu2 nya :),5,31,nice place n yummy menu2,24
302,"tempat minii, agak susah juga nyarinya",4,38,tempat mini susah nyarinya,26
303,Dapet harga Promo Hazelnut nya cm 17K,5,37,dapet harga promo hazelnut cm 17k,33
304,Kopi kenangan mantan nya enak. Pelayanan baik dan tempat cukup nyaman,5,69,kopi kenang mantan enak layan baik tempat cukup nyaman,54
305,"Manajemen kurang bagus, masakannya juga kurang maksimal beda dengan cabang lainnya. Pernah dibohongi untuk bayar makan dengan bill terpisah padahal itu order lain sebelumnya. Untuk diskon bank pun harus displit bill karena melebihi maksimal pembelian, padahal kalau sebelum pajak masih blm mencapai, sehingga diskon tidak bisa maksimal. Orangnya sudah dikasi tau tapi terus ngeyel. Mohon hati2 jika makan disini.",1,412,manajemen kurang bagus masakan kurang maksimal beda cabang pernah bohong bayar makan bill pisah padahal order diskon bank harus displit bill lebih maksimal beli padahal kalau belum pajak blm capai diskon bisa maksimal orang kasi tau terus ngeyel mohon hati2 makan sini,268
306,"rasanya enak sih, harga lumayan, porsi mungkin bisa ditambain hehehe",5,68,rasa enak sih harga lumayan porsi mungkin ditambain hehehe,58
307,Menu barunya seger banget,5,25,menu baru seger banget,22
308,"Tidak ramah, judes bnget,mbak nya horor... giliran ada kokoh beda cara ngomongnya,lagi nyari jodoh lu  lama banget juga pelayanan nya,beda dngn chatime lainnya",1,159,ramah judes bnget mbak horor gilir kokoh beda cara ngomongnya nyari jodoh lu lama banget layan beda dngn chatime,112
309,"Tolong pramuniaga yang jaga hari ini tgl 12/10/2023 pukul 10.45 lebih ditraining lagi untuk wording nya, saya pesan americano tidak ditanya hot/cold tp lgsg dibuatkan yg cold saja, giliran complain malah disalahkan karena saya tidak info.",1,238,pramuniaga jaga hari tgl 12 10 2023 pukul 10 45 lebih ditraining untuk wording pesan americano tanya hot cold tp lgsg buat cold gilir complain malah salah saya info,164
310,"Mbak Tika pelayanannya baik banget, peduli banget sama pelanggan.",5,65,mbak tika layan baik banget peduli banget sama langgan,54
311,"Salah satu sbucks paling ramah menurutku ya disini,datang wkt valday kmren jam 12 siang gk terlalu rame,ya gt2 aja si Starbucks,servisnya top,pesen menu promo valdaynya yg berry2 an,satunya seger satunya mixed kopi berry. Moga servisnya slalu optimal",5,250,salah satu sbucks paling ramah turut sini datang wkt valday kmren jam 12 siang gk terlalu rame gt2 aja si starbucks servis top sen menu promo valdaynya berry2 an satu seger satu mixed kopi berry moga servis slalu optimal,220
312,"Meski di belakang, kopken selalu ramai daripada tenant yang lain sehingga memberi kesan hidup. Saya selalu ke Kopken ketika berkunjung ke Sutos. Pelayanan cepat dan pegawainya ramah.",5,182,meski belakang kopken selalu ramai tenant lain beri kesan hidup selalu kopken kunjung sutos layan cepat pegawai ramah,117
313,"Chatime seri Galaxy !! . Biasanya kalo kesini selalu pesen menu hazelnut choco milk tea tapi kali ini penasaran sama rasa barunyaa. Daan langsung secintaak ituu  , rasanya itu unikk ada campuran dari santan / krimer yang di padukan sama rasa dari buah mangga, enaak dan nggak bikin eneg. Sayangnya Buat yang nggak doyan es khusus menu galaxy wajib pakai es tapi tetep ueeanaak kok. . Rates : 10/10 . On Frame : Mango Milky Way 27K Hazelnut Choco Milk Tea 25K",5,458,chatime seri galaxy biasa kalo kesini selalu sen menu hazelnut choco milk tea kali penasaran sama rasa barunyaa daan langsung secintaak ituu rasa unikk campur santan krimer di padu sama rasa buah mangga enaak nggak bikin eneg sayang buat nggak doyan es khusus menu galaxy wajib pakai es tetep ueeanaak kok rates 10 10 on frame mango milky way 27k hazelnut choco milk tea 25k,374
314,resto nya pegawainya lemot tolong,2,33,resto pegawai lot,17
315,"makin maju , makin banyak upgrade interiornya. rasa & kualitas steak masih tetap sama.",5,86,makin maju makin banyak upgrade interior rasa kualitas steak tetap sama,71
316,"Lokasi nya sangat nyaman tapi kalo siang sedikit panas, tempat nya bersih dan nyaman.",4,85,lokasi sangat nyaman kalo siang sedikit panas tempat bersih nyaman,66
317,"Mapan semua , Mie nya maknyus, rekomended",5,41,mapan semua mie maknyus rekomended,34
318,suka tempatny ..cozy..,5,22,suka tempatny cozy,18
319,Setiap  weekend dapet promo,5,27,tiap weekend dapet promo,24
320,"Makanan minuman enak. Pelayanan kadang msh kurang. Belum selesai kadang makanan/ minuman sudah diambil, padahal msh ada makanan/ minumannya. Toiletnya jg mampet, bau pesing juga. Semoga lebih baik lagi.",3,202,makan minum enak layan kadang msh kurang selesai kadang makan minum ambil padahal msh makan minum toilet jg mampet bau pesing moga lebih baik,141
321,"Carbonaranya kering saosnya , seperti carbonara indomie , seledrinya ada beberapa yg kuning , kualitas makanan gak d jaga",1,121,carbonaranya kering saosnya carbonara indomie seledri beberapa kuning kualitas makan gak d jaga,95
322,tempatnya cozy dan bersih. kopi sama rotinya enak. pegawainya ramah,5,67,tempat cozy bersih kopi sama roti enak pegawai ramah,52
323,SAYA SANGAT DIRUGIKAN DEPOT BU RUDI DI PASAR ATOM. SAYA BELI PISANG GORENG. KEMARIN TANGGAL 25 MEI 2022 SAYA LUPA AMBIL KARENA MEMANG SAAT ITU PISANG GORENG BELUM READY. SAYA DI KASIH NOTED KERTAS TANDA BELUM ATAU KURANG AMBIL. PADA TANGGAL 26 MEI 2022 SAYA BERNIAT UNTUK SAMPAIKAN DENGAN BUKTI NOTED KERTAS DARI KOKO PENJAGA DI BAGIAN GORENGAN. NOTA TIDAK DI AKUI. SAYA DIRUGIKAN. BAGAIMANA TANGGUNGJAWAB DEPOT BU RUDI DENGAN UANG SAYA YANG SUDAH TERDEPOSITE DI BU RUDI PASAR ATOM.,1,482,sangat rugi depot bu rudi pasar atom beli pisang goreng kemarin tanggal 25 mei 2022 lupa ambil memang itu pisang goreng ready kasih noted kertas tanda atau kurang ambil tanggal 26 mei 2022 niat sampai bukti noted kertas koko jaga bagi goreng nota di aku rugi bagaimana tanggungjawab depot bu rudi uang terdeposite di bu rudi pasar atom,335
324,"Minta tolong kepada Owner, tolong diedukasi ke pegawainya klo kerja yg jujur & profesional l, klo mau kirim barang ke Ojol harus ditulis berat barang sesuai barang jgn asal ketik, yang seharusnya 15kg ditulis 1kg demi hemat ongkir, ini jelas merugikan driver Ojol.",1,264,minta kepada owner edukasi pegawai klo kerja jujur profesional l klo mau kirim barang ojol tulis berat barang sesuai barang jgn asal ketik harus 15kg tulis 1kg hemat ongkir jelas rugi driver ojol,195
325,"Parkiran luas. Tempat bersih, nyaman dan instagramable. L dasar: parkir. L1: oleh-oleh. L2: resto dalam dan luar ruangan. L3: privat dan musholla. Menu beragam dan enak. Pelayanan ramah dan cepat.",5,196,parkir luas tempat bersih nyaman instagramable l dasar parkir l1 l2 resto luar ruang l3 privat musholla menu agam enak layan ramah dan cepat,140
326,"Cek suwiiinE , disiapnow dolanan",1,32,cek suwiiine disiapnow dolan,28
327,pelayanannya ngga bgttt. mba nya ga ramah. terutama mb kasirnya!,1,64,layan ngga bgttt mba ramah utama mb kasir,41
328,Mantan ikan gurame nya,5,22,mantan ikan gurame,18
329,"Pelayanan sangat lama, gk satset, gk koyok chatime liane, driver datang gk  lngsung jadi, msih nunggu driver datang, padahal sudah resto supeeeerrrrrr..",1,152,layan sangat lama gk satset gk koyok chatime liane driver datang gk lngsung jadi msih nunggu driver datang padahal resto supeeeerrrrrr,134
330,"Soto Cak Har ga pernah diragukan untuk rasanya yang enak. Cak Har Pusat tidak terlalu antri dibandingkan beli di jalan MERR dan bisa bayar pakai Qris. Soto tiga, es jeruk 2, 1 es teh, kerupuk 2 habis Rp111rb. Jajanannya juga ada cendol, puding, madu, otak2 ikan, Keripik tempe.",5,277,soto cak har pernah ragu rasa enak cak har pusat terlalu antri banding beli jalan merr bisa bayar pakai qris soto tiga es jeruk 2 1 es teh kerupuk 2 habis rp111rb jajan ada cendol puding madu otak2 ikan keripik tempe,216
331,Karyawan kebanyakan bercanda,1,28,karyawan banyak canda,21
332,"Steak utk fine dine, sejak saya masih smp",5,41,steak utk fine dine sejak masih smp,35
333,Cocok untuk kerja. Namun terlalu ramai di weekend malam.,5,56,cocok kerja terlalu ramai weekend malam,39
334,Tempatnya enak buat nyore,5,25,tempat enak buat nyore,22
335,"Indonesian food restaurant, located inside Citraland Residence. Known best for its Ikan bakar, ikan pesmol. Pepes also nice. Good service, nice staff",5,149,indonesian food restaurant located inside citraland residence known best for its ikan bakar ikan pesmol pepes also nice good service nice staff,143
336,"biasa, bkn penggila cheese",5,26,biasa bkn gila cheese,21
337,"Paling enak masakan gurami bakar, hanya saja untuk cah kangkung masih kurang sedap",5,82,paling enak masakan gurami bakar saja cah kangkung kurang sedap,63
338,"Pelayanan cepet, tempat nyaman bngt, suasana juga oke cocok buat acara keluarga",5,79,layan cepet tempat nyaman bngt suasana oke cocok buat acara keluarga,68
339,Lg hujan cm ba liat dr kejauhan,5,31,lg hujan cm ba liat dr jauh,27
340,Sedia kebutuhan sehari-hari,5,27,sedia butuh hari,16
341,Mantul... enak banget...suasana nya nyaman...,5,45,mantul enak banget suasana nyaman,33
342,"Tempat Ngopi dan Bersantai Favorite di TP 6. Nyaman,luas,pelayanan OK Kalau Kopi nya mah Juara spt biasanya.",4,108,tempat ngopi santa favorite tp 6 nyaman luas layan kalau kopi mah juara spt biasa,81
343,Nyaman utk nongkrong,5,20,nyaman utk nongkrong,20
344,Langganan disini.paling enak sotonya dimakan ditempat krn koyanya banyak dan makannya bareng orang banyak.hehe,5,110,langgan sini paling enak soto makan tempat krn koyanya banyak makan bareng orang banyak hehe,92
345,"Saya tiap datang selalu dengan senyum, tapi tiap baristanya yang mbak mbak jilbaban saya selalu dibikin badmood dengan attitudenya. Tenkyu lho",2,142,tiap datang selalu senyum tiap baristanya mbak mbak jilbab selalu bikin badmood attitudenya tenkyu lho,102
346,"Agak remang2 ja sih,,, tp after all,cozy kok",4,44,remang2 ja sih tp after all cozy kok,36
347,"This is the premium version of Kopi Kenangan with upgraded menus and tools. Ada banyak tambahan menu dan tentunya tambahan harga juga. Sekarang ada mix mocktail cold brew, beberapa pilihan biji kopi, v60, pastry, dan lainnya lagi. Untuk seating layout masih sama seperti dulu, hanya interiornya terutama bagian order dan cashier lebih terang dan memberikan vibe lebih premium dan cerah. Overall masih tempat yang oke untuk ngopi, nongki, kerja tugas, hanya perlu nambah budget saja.",5,482,this is the premium version of kopi kenang with upgraded nus and tools banyak tambah menu tentu tambah harga sekarang mix mocktail cold brew beberapa pilih biji kopi v60 pastry lain seating layout sama dulu interior utama order cashier lebih terang beri vibe lebih premium cerah overall tempat oke untuk ngopi nongki kerja tugas perlu nambah budget,348
348,"Secara kualitas masih sama seperti Chatime pada umumnya. Mungkin yang perlu di jadikan concern ketika upselling produknya. Jika yang datang orang orang yang sering beli Chatime/orang FnB masih ok karena mereka akan paham cara upselling. Sedikit saran dari saya, kalau mau menawarkan topping, mungkin kalimatnya bisa di ubah dengan cara Mau tambah topping apa kak? bukan Mau topping apa kak?",2,390,cara kualitas sama chatime umum mungkin perlu jadi concern upselling produk datang orang orang sering beli chatime orang fnb ok mereka paham cara upselling sedikit saran saya kalau mau tawar topping mungkin kalimat di ubah cara mau tambah topping apa kak bukan mau topping apa kak,280
349,Tempat terbaik makan siang,5,26,tempat baik makan siang,23
350,siip poll,5,9,siip poll,9
351,"Staff sangat membantu , saya bawa cucu staff dengan cepat mengantar ke meja saya",5,80,staff sangat bantu bawa cucu staff cepat antar meja,51
352,Pesen chicken steak sampai 1 meja selesai belum datang,1,54,sen chicken steak 1 meja selesai datang,39
353,"Tempat nya nyaman, rasa makanan juga enak.. TOP deh",5,51,tempat nyaman rasa makan enak top deh,37
